aar,inst,soKode,navn,studiested,studieplasser,nytt,avlyst,hovedomrade
2019,NMBU,192310,Landskapsingeniør,Ås,25,False,False,"Samfunnsfag, psykologi"
2019,NMBU,192321,Husdyrvitenskap,Ås,50,False,False,"Fiskeri-, husdyr- og landbruksfag"
2019,NMBU,192322,Skogfag,Ås,25,False,False,Matematikk og naturfag
2019,NMBU,192327,Biologi,Ås,40,False,False,Matematikk og naturfag
2019,NMBU,192332,Kjemi,Ås,20,False,False,Matematikk og naturfag
2019,NMBU,192369,Økonomi og administrasjon,Ås,80,False,False,Økonomi og administrasjon
2019,NMBU,192377,Miljø og naturressurser,Ås,20,False,False,Matematikk og naturfag
2019,NMBU,192388,Økologi og naturforvaltning,Ås,30,False,False,Matematikk og naturfag
2019,NMBU,192406,"Geomatikk: kart, satellitter og 3D-modellering",Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192468,Samfunnsøkonomi,Ås,26,False,False,Økonomi og administrasjon
2019,NMBU,192484,Internasjonale miljø- og utviklingsstudier,Ås,20,False,False,"Samfunnsfag, psykologi"
2019,NMBU,192504,Dyrepleie,Oslo,30,False,False,"Medisin, odontologi, helse- og sosialfag"
2019,NMBU,192732,Landskapsarkitektur,Ås,50,False,False,"Samfunnsfag, psykologi"
2019,NMBU,192759,Byggeteknikk og arkitektur,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192766,"Maskin-, prosess- og produktutvikling",Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192767,Industriell økonomi,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192772,Veterinærstudiet,Oslo,70,False,False,"Medisin, odontologi, helse- og sosialfag"
2019,NMBU,192783,Kjemi og bioteknologi,Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192784,Miljøfysikk og fornybar energi,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192804,Datavitenskap,Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192809,Vann- og miljøteknikk,Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192810,Anvendt robotikk,Ås,25,True,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192813,"Geomatikk: kart, satellitter og 3D-modellering",Ås,10,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NMBU,192835,Fornybar energi,Ås,35,False,False,"Samfunnsfag, psykologi"
2019,NMBU,192842,Plantevitenskap,Ås,25,False,False,"Fiskeri-, husdyr- og landbruksfag"
2019,NMBU,192843,"Lektor, 8.-13. trinn, realfag",Ås,25,False,False,Lærer- og lektorutdanning
2019,NMBU,192857,Energi- og miljøfysikk,Ås,20,False,False,Matematikk og naturfag
2019,NMBU,192864,Matvitenskap og ernæring,Ås,20,False,False,Matematikk og naturfag
2019,NMBU,192949,By- og regionplanlegging,Ås,35,False,False,"Samfunnsfag, psykologi"
2019,NORD,204162,Personalledelse og kompetanseutvikling,Bodø,50,False,False,Økonomi og administrasjon
2019,NORD,204164,Økonomi og ledelse,Bodø,50,False,False,Økonomi og administrasjon
2019,NORD,204209,"Økonomi, markedsføring og ledelse",Stjørdal,100,True,False,Økonomi og administrasjon
2019,NORD,204218,"Økonomi, markedsføring og ledelse",Bodø,100,False,False,Økonomi og administrasjon
2019,NORD,204232,Personalledelse og kompetanseutvikling,Vesterålen,30,False,True,Økonomi og administrasjon
2019,NORD,204318,Regnskap ,Bodø,25,False,False,Økonomi og administrasjon
2019,NORD,204342,Økonomi og ledelse,Bodø,60,False,False,Økonomi og administrasjon
2019,NORD,204345,Siviløkonom,Bodø,20,False,False,Økonomi og administrasjon
2019,NORD,204368,Eiendomsmegling,Bodø,30,False,False,Økonomi og administrasjon
2019,NORD,204398,Økonomi og ledelse,Mo i Rana,30,False,False,Økonomi og administrasjon
2019,NORD,204404,Økonomi og ledelse,Steinkjer,30,False,False,Økonomi og administrasjon
2019,NORD,204453,Digital økonomi og organisasjon,Mo i Rana,25,False,False,Informasjonsteknologi og informatikk
2019,NORD,204470,Økonomi og ledelse,Mo i Rana,20,False,False,Økonomi og administrasjon
2019,NORD,204473,Internasjonal markedsføring,Bodø,45,False,False,Økonomi og administrasjon
2019,NORD,204516,Regnskap,Steinkjer,20,False,False,Økonomi og administrasjon
2019,NORD,204583,Personalledelse og kompetanseutvikling,Levanger,30,True,False,Økonomi og administrasjon
2019,NORD,204625,Økonomi og ledelse,Steinkjer,40,False,False,Økonomi og administrasjon
2019,NORD,204664,Personalledelse og kompetanseutvikling,Mo i Rana,30,False,False,Økonomi og administrasjon
2019,NTNU,194035,Økonomi og administrasjon,Trondheim,270,False,False,Økonomi og administrasjon
2019,NTNU,194160,Økonomi og ledelse,Gjøvik,30,False,False,Økonomi og administrasjon
2019,NTNU,194162,Økonomi og ledelse,Ålesund,30,False,False,Økonomi og administrasjon
2019,NTNU,194218,Økonomi og administrasjon,Trondheim,40,True,False,Økonomi og administrasjon
2019,NTNU,194239,Samfunnsøkonomi,Trondheim,50,False,False,Økonomi og administrasjon
2019,NTNU,194253,Shippingledelse,Ålesund,10,False,False,Økonomi og administrasjon
2019,NTNU,194298,Biomarin innovasjon,Ålesund,35,False,False,Økonomi og administrasjon
2019,NTNU,194359,"Markedsføring, innovasjon og ledelse",Ålesund,70,False,False,Økonomi og administrasjon
2019,NTNU,194369,"Økonomi, ledelse og bærekraft",Gjøvik,60,False,False,Økonomi og administrasjon
2019,NTNU,194404,"Økonomi, ledelse og bærekraft",Gjøvik,60,False,False,Økonomi og administrasjon
2019,NTNU,194414,Økonomi og administrasjon,Ålesund,70,False,False,Økonomi og administrasjon
2019,NTNU,194432,Logistikk,Gjøvik,30,False,False,Økonomi og administrasjon
2019,NTNU,194470,Shipping management,Ålesund,45,False,False,Økonomi og administrasjon
2019,NTNU,194767,Industriell økonomi og teknologiledelse,Trondheim,160,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,NTNU,194818,Samfunnsøkonomi,Trondheim,25,False,False,Økonomi og administrasjon
2019,NTNU,194898,Samfunnsøkonomi,Trondheim,100,False,False,Økonomi og administrasjon
2019,OSLOMET,215138,Administrasjon og ledelse i offentlig virksomhet,Oslo,101,False,False,Økonomi og administrasjon
2019,OSLOMET,215162,Økonomi og ledelse,Oslo,20,False,False,Økonomi og administrasjon
2019,OSLOMET,215253,Økonomi og ledelse,Oslo,20,False,False,Økonomi og administrasjon
2019,OSLOMET,215369,Økonomi og administrasjon ,Oslo,245,False,False,Økonomi og administrasjon
2019,UIA,201345,Økonomi og administrasjon - siviløkonom,Kristiansand,100,False,False,Økonomi og administrasjon
2019,UIA,201359,Markedsføring og ledelse,Kristiansand,110,False,False,Økonomi og administrasjon
2019,UIA,201369,Økonomi og administrasjon,Kristiansand,150,False,False,Økonomi og administrasjon
2019,UIA,201767,Industriell økonomi og teknologiledelse,Grimstad,30,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,UIB,184162,Administrasjon og organisasjonsvitenskap,Bergen,21,False,False,"Samfunnsfag, psykologi"
2019,UIB,184239,Samfunnsøkonomi,Bergen,21,False,False,Økonomi og administrasjon
2019,UIB,184306,Informatikk-matematikk-økonomi,Bergen,21,False,False,Matematikk og naturfag
2019,UIB,184369,Samfunnsøkonomi,Bergen,98,False,False,Økonomi og administrasjon
2019,UIB,184698,Samfunnsøkonomi,Bergen,22,False,False,Økonomi og administrasjon
2019,UIB,184867,Administrasjon og organisasjonsvitenskap,Bergen,86,False,False,"Samfunnsfag, psykologi"
2019,UIB,184875,Politisk økonomi,Bergen,25,False,False,"Samfunnsfag, psykologi"
2019,UIO,185239,Samfunnsøkonomi,Oslo,40,False,False,Økonomi og administrasjon
2019,UIO,185370,Informatikk: digital økonomi og ledelse,Oslo,57,False,False,Informasjonsteknologi og informatikk
2019,UIO,185452,Offentlig administrasjon og ledelse,Oslo,55,False,False,Økonomi og administrasjon
2019,UIO,185465,Helseledelse og helseøkonomi,Oslo,40,False,False,Økonomi og administrasjon
2019,UIO,185698,Samfunnsøkonomisk analyse,Oslo,47,False,False,Økonomi og administrasjon
2019,UIO,185862,Matematikk og økonomi,Oslo,40,False,False,Matematikk og naturfag
2019,UIO,185898,Samfunnsøkonomi,Oslo,90,False,False,Økonomi og administrasjon
2019,UIS,217369,Økonomi og administrasjon,Stavanger,195,False,False,Økonomi og administrasjon
2019,UIS,217813,"Industriell økonomi, alle linjer",Stavanger,49,False,False,"Teknologi, ingeniørfag og arkitektur"
2019,UIT,186035,Økonomi og administrasjon,Harstad,110,False,False,Økonomi og administrasjon
2019,UIT,186162,Praktisk prosjektledelse,Harstad,50,False,False,Økonomi og administrasjon
2019,UIT,186164,Bedriftsøkonomi,Alta,350,False,False,Økonomi og administrasjon
2019,UIT,186369,Økonomi og administrasjon,Tromsø,150,False,False,Økonomi og administrasjon
2019,UIT,186410,Økonomi og administrasjon,Narvik,25,False,False,Økonomi og administrasjon
2019,UIT,186468,Økonomi og administrasjon,Alta,100,False,False,Økonomi og administrasjon
2019,UIT,186664,Ledelse,Alta,650,False,False,Økonomi og administrasjon
2019,UIT,186867,"Ledelse, innovasjon og marked",Tromsø,90,False,False,Økonomi og administrasjon
2019,UIT,186898,Samfunnsøkonomi,Tromsø,30,False,False,Økonomi og administrasjon
2019,USN,222164,Bedriftsøkonomi,Bø,30,False,False,Økonomi og administrasjon
2019,USN,222330,Økonomi og ledelse,Drammen,90,False,False,Økonomi og administrasjon
2019,USN,222345,Siviløkonom,Ringerike,50,False,False,Økonomi og administrasjon
2019,USN,222359,Markedsføringsledelse,Ringerike,50,False,False,Økonomi og administrasjon
2019,USN,222368,Eiendomsmegling,Bø,60,False,False,Økonomi og administrasjon
2019,USN,222369,Økonomi og ledelse,Vestfold,100,False,False,Økonomi og administrasjon
2019,USN,222404,Økonomi og ledelse,Kongsberg,100,False,False,Økonomi og administrasjon
2019,USN,222414,Økonomi og ledelse,Ringerike,50,False,False,Økonomi og administrasjon
2019,USN,222470,Økonomi og ledelse,Bø,80,False,False,Økonomi og administrasjon
2019,USN,222473,Internasjonal markedsføring og reiseliv,Bø,50,False,False,Økonomi og administrasjon
2019,USN,222867,Forretningsjus og økonomi,Ringerike,50,False,False,"Juridiske fag, rettsvitenskap, politi"
2019,USN,222895,Innovasjon og entreprenørskap,Bø,50,False,False,Økonomi og administrasjon
2020,HIM,211164,Bedriftsøkonomi,Molde,30,False,False,Økonomi og administrasjon
2020,HIM,211232,Personal- og organisasjonskunnskap,Molde,30,True,False,Økonomi og administrasjon
2020,HIM,211292,Logistikk og Supply Chain Management,Molde,30,False,False,Økonomi og administrasjon
2020,HIM,211369,Økonomi og administrasjon,Molde,60,False,False,Økonomi og administrasjon
2020,HIM,211389,Bærekraftig logistikk og sirkulær økonomi,Kristiansund,30,False,False,Økonomi og administrasjon
2020,HIM,211432,Marin logistikk og økonomi,Kristiansund,30,False,False,Økonomi og administrasjon
2020,HIM,211841,Jus og administrasjon,Molde,30,False,False,"Samfunnsfag, psykologi"
2020,HIM,211866,Petroleumslogistikk og økonomi,Kristiansund,30,False,False,Økonomi og administrasjon
2020,HIØ,224035,Økonomi og administrasjon,Halden,85,False,False,Økonomi og administrasjon
2020,HIØ,224398,Bedriftsøkonomi,Halden,40,False,False,Økonomi og administrasjon
2020,HIØ,224516,Regnskap,Halden,40,False,False,Økonomi og administrasjon
2020,HVL,203368,Eiendomsmegling,Sogndal,40,False,False,Økonomi og administrasjon
2020,HVL,203369,Økonomi og administrasjon,Bergen,165,False,False,Økonomi og administrasjon
2020,HVL,203404,Økonomi og administrasjon,Haugesund,90,False,False,Økonomi og administrasjon
2020,HVL,203414,Økonomi og administrasjon,Haugesund,30,False,False,Økonomi og administrasjon
2020,HVL,203515,Økonomi og administrasjon,Sogndal,60,False,False,Økonomi og administrasjon
2020,HVL,203526,Økonomi og jus,Sogndal,30,False,False,"Juridiske fag, rettsvitenskap, politi"
2020,HVO,223452,Planlegging og administrasjon,Volda,35,False,False,Økonomi og administrasjon
2020,INN,209035,Økonomi og administrasjon,Lillehammer,70,False,False,Økonomi og administrasjon
2020,INN,209162,Organisasjon og ledelse,Rena,30,False,False,Økonomi og administrasjon
2020,INN,209164,Bedriftsøkonomi,Rena,20,False,False,Økonomi og administrasjon
2020,INN,209215,"Offentlig styring, ledelse og økonomi",Kongsvinger,80,False,False,Økonomi og administrasjon
2020,INN,209232,Økonomi og administrasjon,Lillehammer,20,False,False,Økonomi og administrasjon
2020,INN,209368,Eiendomsmegling,Rena,50,False,False,Økonomi og administrasjon
2020,INN,209369,Økonomi og administrasjon,Rena,45,False,False,Økonomi og administrasjon
2020,INN,209389,Bærekraftsøkonomi,Kongsvinger,25,True,False,Økonomi og administrasjon
2020,INN,209398,Bedriftsøkonomi,Hamar,150,False,False,Økonomi og administrasjon
2020,INN,209470,Serviceledelse og markedsføring,Rena,25,False,False,Økonomi og administrasjon
2020,INN,209476,Music Business - Management,Rena,30,False,False,Økonomi og administrasjon
2020,INN,209485,Sport Management,Lillehammer,30,False,False,Økonomi og administrasjon
2020,INN,209516,Regnskap og økonomirådgivning,Rena,45,False,False,Økonomi og administrasjon
2020,INN,209525,Organisasjon og ledelse,Lillehammer,70,False,False,Økonomi og administrasjon
2020,INN,209664,Organisasjon og ledelse,Rena,120,False,False,Økonomi og administrasjon
2020,INN,209714,Music Business - Production,Rena,30,False,False,Økonomi og administrasjon
2020,INN,209867,Ledelse og digitalisering,Rena,45,False,False,Økonomi og administrasjon
2020,NHH,191345,Siviløkonomutdanningen,Bergen,570,False,False,Økonomi og administrasjon
2020,NLA,254470,Økonomi og administrasjon,Oslo,50,False,False,Økonomi og administrasjon
2020,NLA,254895,Innovasjon og ledelse,Oslo,50,False,False,Økonomi og administrasjon
2020,NMBU,192199,Ettårig grunnstudium,Ås,40,False,False,"Samfunnsfag, psykologi"
2020,NMBU,192230,Eiendom,Ås,38,False,False,"Samfunnsfag, psykologi"
2020,NMBU,192233,Frie realfag,Ås,30,False,False,Matematikk og naturfag
2020,NMBU,192299,Bioteknologi,Ås,40,False,False,Matematikk og naturfag
2020,NMBU,192310,Landskapsingeniør,Ås,25,False,False,"Samfunnsfag, psykologi"
2020,NMBU,192321,Husdyrvitenskap,Ås,50,False,False,"Fiskeri-, husdyr- og landbruksfag"
2020,NMBU,192322,Skogfag,Ås,35,False,False,Matematikk og naturfag
2020,NMBU,192327,Biologi,Ås,45,False,False,Matematikk og naturfag
2020,NMBU,192332,Kjemi,Ås,20,False,False,Matematikk og naturfag
2020,NMBU,192369,Økonomi og administrasjon,Ås,95,False,False,Økonomi og administrasjon
2020,NMBU,192377,Miljø og naturressurser,Ås,20,False,False,Matematikk og naturfag
2020,NMBU,192388,Økologi og naturforvaltning,Ås,30,False,False,Matematikk og naturfag
2020,NMBU,192406,"Geomatikk: kart, satellitter og 3D-modellering",Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192468,Samfunnsøkonomi,Ås,26,False,False,Økonomi og administrasjon
2020,NMBU,192484,Internasjonale miljø- og utviklingsstudier,Ås,20,False,False,"Samfunnsfag, psykologi"
2020,NMBU,192504,Dyrepleie,Ås,30,False,False,"Medisin, odontologi, helse- og sosialfag"
2020,NMBU,192732,Landskapsarkitektur,Ås,40,False,False,"Samfunnsfag, psykologi"
2020,NMBU,192759,Byggeteknikk og arkitektur,Ås,35,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192766,"Maskin-, prosess- og produktutvikling",Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192767,Industriell økonomi,Ås,40,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192772,Veterinærstudiet,Ås,90,False,False,"Medisin, odontologi, helse- og sosialfag"
2020,NMBU,192783,Kjemi og bioteknologi,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192784,Miljøfysikk og fornybar energi,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192804,Datavitenskap,Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192809,Vann- og miljøteknikk,Ås,30,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192810,Anvendt robotikk,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192813,"Geomatikk: kart, satellitter og 3D-modellering",Ås,15,False,False,"Teknologi, ingeniørfag og arkitektur"
2020,NMBU,192835,Fornybar energi,Ås,35,False,False,"Samfunnsfag, psykologi"
2020,NMBU,192842,Plantevitenskap,Ås,35,False,False,"Fiskeri-, husdyr- og landbruksfag"
2020,NMBU,192843,"Lektor, 8.-13. trinn, realfag",Ås,30,False,False,Lærer- og lektorutdanning
