Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
Nord universitet;204345;Økonomi og administrasjon - siviløkonom;Bodø;Økonomisk-administrative fag;Studieplasser;30;20;20;20;15;15;0;0
Nord universitet;204345;Økonomi og administrasjon - siviløkonom;Bodø;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);33,3 %;15,4 %;31,2 %;33,3 %;42,1 %;50,0 %;0;0
Nord universitet;204345;Økonomi og administrasjon - siviløkonom;Bodø;Økonomisk-administrative fag;Antall kvalifiserte;260;235;209;160;198;148;0;0
Nord universitet;204345;Økonomi og administrasjon - siviløkonom;Bodø;Økonomisk-administrative fag;Antall tilbud;60;60;60;50;73;49;0;0
Nord universitet;204404;Økonomi og administrasjon, Steinkjer, bachelor;Steinkjer;Økonomisk-administrative fag;Alle søkere;279;256;197;286;223;240;0;0
Nord universitet;204404;Økonomi og administrasjon, Steinkjer, bachelor;Steinkjer;Økonomisk-administrative fag;Førstevalgssøkere;53;46;39;53;44;40;0;0
Nord universitet;204404;Økonomi og administrasjon, Steinkjer, bachelor;Steinkjer;Økonomisk-administrative fag;Studieplasser;50;50;50;40;40;40;0;0
Nord universitet;204404;Økonomi og administrasjon, Steinkjer, bachelor;Steinkjer;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);52,8 %;54,3 %;41,0 %;43,4 %;50,0 %;47,5 %;0;0
Nord universitet;204404;Økonomi og administrasjon, Steinkjer, bachelor;Steinkjer;Økonomisk-administrative fag;Antall kvalifiserte;255;235;176;253;197;211;0;0
Nord universitet;204404;Økonomi og administrasjon, Steinkjer, bachelor;Steinkjer;Økonomisk-administrative fag;Antall tilbud;90;70;62;89;86;69;0;0
Nord universitet;204625;Økonomi og administrasjon, Steinkjer, årsstudium;Steinkjer;Økonomisk-administrative fag;Alle søkere;210;162;145;147;145;106;0;0
Nord universitet;204625;Økonomi og administrasjon, Steinkjer, årsstudium;Steinkjer;Økonomisk-administrative fag;Førstevalgssøkere;40;38;23;21;19;20;0;0
Nord universitet;204625;Økonomi og administrasjon, Steinkjer, årsstudium;Steinkjer;Økonomisk-administrative fag;Studieplasser;40;30;30;30;30;25;0;0
Nord universitet;204625;Økonomi og administrasjon, Steinkjer, årsstudium;Steinkjer;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);65,0 %;55,3 %;56,5 %;52,4 %;47,4 %;75,0 %;0;0
Nord universitet;204625;Økonomi og administrasjon, Steinkjer, årsstudium;Steinkjer;Økonomisk-administrative fag;Antall kvalifiserte;200;147;131;133;133;94;0;0
Nord universitet;204625;Økonomi og administrasjon, Steinkjer, årsstudium;Steinkjer;Økonomisk-administrative fag;Antall tilbud;69;46;32;28;37;22;0;0
Norges Handelshøyskole;191345;Økonomi og administrasjon - siviløkonom;Bergen;Økonomisk-administrative fag;Alle søkere;5048;4602;4930;4737;4480;4749;54,8;59,9
