Studiekode;Studienavn;Kolonne1;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;0;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;28;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;0;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;Ås;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
192253;Bærekraftig økonomi og ledelse, deltid;;NMBU;Ås;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;
194583;Økonomi og ledelse, deltid, årsstudium;;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
194583;Økonomi og ledelse, deltid, årsstudium;;NTNU;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
194583;Økonomi og ledelse, deltid, årsstudium;;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2025;61,5;;
194583;Økonomi og ledelse, deltid, årsstudium;;NTNU;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;61,5;;
194583;Økonomi og ledelse, deltid, årsstudium;;NTNU;Gjøvik;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
194583;Økonomi og ledelse, deltid, årsstudium;;NTNU;Gjøvik;ØKADM;Ordinær kvote;Hovedopptak;2026;61,1;;
204158;HR-ledelse, deltid;;NORD;Bodø;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;37;;
204158;HR-ledelse, deltid;;NORD;Bodø;ØKADM;Ordinær kvote;Hovedopptak;2026;63,9;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2023;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2022;0;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;53,8;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;58,6;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;52,9;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;54,1;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;52;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;58,5;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;52,6;;
209207;Bedriftsøkonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2022;51;;
209207;Bedriftsøkonomi, deltid;;INN;Åmot;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
209207;Bedriftsøkonomi, deltid;;INN;Åmot;ØKADM;Ordinær kvote;Hovedopptak;2026;57,6;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2023;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2022;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2021;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;44;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2021;43,9;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;43,8;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2022;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2021;39,9;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;Åmot;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
209215;Offentlig styring, ledelse og økonomi, deltid;;INN;Åmot;ØKADM;Ordinær kvote;Hovedopptak;2026;53,2;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2023;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2022;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;53,5;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;56,1;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;55,2;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;55,2;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;52,6;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;55,6;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;55,2;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;;ØKADM;Ordinær kvote;Suppleringsopptak;2022;55,2;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;Åmot;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
209583;Organisasjon og ledelse, deltid, nettbasert;;INN;Åmot;ØKADM;Ordinær kvote;Hovedopptak;2026;52,6;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211627;Logistikk;Molde;Økonomisk-administrative fag;Alle søkere;;;1322;1440;1682;1827
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211627;Logistikk;Molde;Økonomisk-administrative fag;Førstevalgssøkere;;;321;404;554;585
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211627;Logistikk;Molde;Økonomisk-administrative fag;Studieplasser;;;50;400;300;300
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211627;Logistikk;Molde;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;55,8 %;55,0 %;47,7 %;48,0 %
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211627;Logistikk;Molde;Økonomisk-administrative fag;Antall kvalifiserte;;;1231;1355;1590;1732
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211627;Logistikk;Molde;Økonomisk-administrative fag;Antall tilbud;;;453;574;689;758
NLA Høgskolen;254393;Bærekraftig entreprenørskap og innovasjon;Oslo;Økonomisk-administrative fag;Alle søkere;;;;1527;1342;1178
NLA Høgskolen;254393;Bærekraftig entreprenørskap og innovasjon;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;;;;158;153;108
NLA Høgskolen;254393;Bærekraftig entreprenørskap og innovasjon;Oslo;Økonomisk-administrative fag;Studieplasser;;;;25;25;25
NLA Høgskolen;254393;Bærekraftig entreprenørskap og innovasjon;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;57,0 %;58,8 %;56,5 %
NLA Høgskolen;254393;Bærekraftig entreprenørskap og innovasjon;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;;;;1409;1266;1104
NLA Høgskolen;254393;Bærekraftig entreprenørskap og innovasjon;Oslo;Økonomisk-administrative fag;Antall tilbud;;;;250;277;265
Nord universitet;204158;HR-ledelse, deltid;Bodø;Økonomisk-administrative fag;Alle søkere;;;;;;4030
Nord universitet;204158;HR-ledelse, deltid;Bodø;Økonomisk-administrative fag;Førstevalgssøkere;;;;;;1396
Nord universitet;204158;HR-ledelse, deltid;Bodø;Økonomisk-administrative fag;Studieplasser;;;;;;40
Nord universitet;204158;HR-ledelse, deltid;Bodø;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;;83,1 %
Nord universitet;204158;HR-ledelse, deltid;Bodø;Økonomisk-administrative fag;Antall kvalifiserte;;;;;;3838
Nord universitet;204158;HR-ledelse, deltid;Bodø;Økonomisk-administrative fag;Antall tilbud;;;;;;70
Norges miljø- og biovitenskapelige universitet;192253;Bærekraftig økonomi og ledelse, deltid;Ås;Økonomisk-administrative fag;Alle søkere;;;3087;3312;2958;3046
Norges miljø- og biovitenskapelige universitet;192253;Bærekraftig økonomi og ledelse, deltid;Ås;Økonomisk-administrative fag;Førstevalgssøkere;;;1026;1134;1038;986
Norges miljø- og biovitenskapelige universitet;192253;Bærekraftig økonomi og ledelse, deltid;Ås;Økonomisk-administrative fag;Studieplasser;;;200;950;950;950
Norges miljø- og biovitenskapelige universitet;192253;Bærekraftig økonomi og ledelse, deltid;Ås;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;67,7 %;63,7 %;65,2 %;64,6 %
Norges miljø- og biovitenskapelige universitet;192253;Bærekraftig økonomi og ledelse, deltid;Ås;Økonomisk-administrative fag;Antall kvalifiserte;;;2949;3159;2817;2899
Norges miljø- og biovitenskapelige universitet;192253;Bærekraftig økonomi og ledelse, deltid;Ås;Økonomisk-administrative fag;Antall tilbud;;;1478;1596;1393;1391
Norges teknisk-naturvitenskapelige universitet;194583;Økonomi og ledelse, deltid, årsstudium;Gjøvik;Økonomisk-administrative fag;Alle søkere;;;;;3567;2749
Norges teknisk-naturvitenskapelige universitet;194583;Økonomi og ledelse, deltid, årsstudium;Gjøvik;Økonomisk-administrative fag;Førstevalgssøkere;;;;;846;703
Norges teknisk-naturvitenskapelige universitet;194583;Økonomi og ledelse, deltid, årsstudium;Gjøvik;Økonomisk-administrative fag;Studieplasser;;;;;50;50
Norges teknisk-naturvitenskapelige universitet;194583;Økonomi og ledelse, deltid, årsstudium;Gjøvik;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;55,2 %;54,6 %
Norges teknisk-naturvitenskapelige universitet;194583;Økonomi og ledelse, deltid, årsstudium;Gjøvik;Økonomisk-administrative fag;Antall kvalifiserte;;;;;3409;2633
Norges teknisk-naturvitenskapelige universitet;194583;Økonomi og ledelse, deltid, årsstudium;Gjøvik;Økonomisk-administrative fag;Antall tilbud;;;;;200;230
UiT Norges arktiske universitet;186164;Bedriftsøkonomi, deltid;Alta;Økonomisk-administrative fag;Alle søkere;1662;1339;1756;2073;1729;1505
