;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Sum høst;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Bokstav;Tall;;
;;;;;;;;Antallet studenter med vurdering i emnet;48;52;45;17;31;22;71;27;19;14;44;42;15;13;18;37;32;29;43;10;19;18;;;5;28;12;9;7;33;5;29;14;20;14;28;67;4;9;9;6;17;;27;1;2;2;27;2;29;69;1;6;1;2;9;2;;A;5;;
;;;;;;;;Studiepoeng emne;10;10;5;5;5;10;10;5;10;10;5;10;10;10;10;10;5;10;10;5;10;10;;;10;10;10;5;10;5;10;10;10;10;5;10;5;10;10;10;5;10;;10;5;5;10;10;5;10;10;10;10;10;10;10;10;;B;4;;Antall emner
Studieprogram;studentnr;;;;karakter;Tallkarakter master;;Emnekode;AOS325;AOS337;AOS340;BUS211;BUS234;BUS313;BUS315;BUS316;BUS322;BUS325;BUS328;BUS329;BUS338;BUS340;ECN201;ECN280;ECN320;ECN372;ECN380;INN200;INN354;INN360;;;BUS210;BUS215;BUS220;BUS234;BUS260;BUS311;BUS313;BUS323;BUS325;BUS335;BUS336;BUS340;BUS360;ECN271;ECN280;ECN375;INN351;INN365;;AOS325;BUS180;BUS211;BUS220;BUS313;BUS316;BUS322;BUS335;BUS340;ECN201;ECN215;ECN311;ECN372;INN341;;C;3;;
M-ØA;33;;;33;B;4;;;;;;;;E;;;;;;;F;;;;;;;;A;;;;;;;;;A;;;; ;E;;;;;;C;;;;;;;;;;B;;;;;;; 2,64 ;;;;8
M-ØA;34;;;34;C;3;;;;B;A;;;;;;;;;;;;;;;;;;;;;;;C;;; ;;;;;;;E;A;;;;;;;C;;;;B;;;B;;;;;;; 3,43 ;;;;9
M-ØA;35;;;35;A;5;;;;B;A;B;;;;A;;;;;;;;;;;;;;;;;;;; ;;A;B;;;;;A;C;;;;;;;B;;;;F;;;B;;;;;;; 3,76 ;;;;12
M-ØA;36;;;36;B;4;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;C;;;A;;;;;;;B;;D;B;;B;;;;;F;;;;B;;E;;;B;; 2,94 ;;;;11
M-ØA;37;;;37;B;4;;;;;;;;;F;;;;C;C;;;;;;;;;;;;;;C;;;;A;;B;;;;;B;;;;;;;;;;;;;B;B;;;;;;; 3,20 ;;;;9
M-ØA;38;;;38;A;5;;;;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;A;;A;;;;A;;;C;;;;;;; 4,38 ;;;;7
M-ØA;39;;;39;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;D;;;;;;C;;;;;;;;;;C;;;;;;; 3,20 ;;;;4
M-ØA;40;;;40;A;5;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;;;;;;;C;;;;B;;;C;;;;;;; 3,92 ;;;;7
M-ØA;41;;;41;A;5;;;;;;;;;C;;;;C;B;;;;;;;;;;;;;;;;;;;;B;;;;B;B;;;;A;;;;;;;;;B;A;;;;;;; 4,00 ;;;;9
M-ØA;42;;;42;B;4;;;;;;;;B;;;;;;;;;;;;;;;;;;;C;;;;;A;;;;;;;B;;C;A;;C;;;;;;;;;B;;C;;;B;; 3,72 ;;;;10
M-ØA;43;;;43;C;3;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;B;C;;;;;C;;C;;;;C;;;B;;;;;;; 3,71 ;;;;9
M-ØA;44;;;44;B;4;;;;;;;;;C;;;;C;C;;;;;;;;;;;;;;C;;;;;;C;;;;;B;;;;;;;;;;;;;E;B;;;;;;; 2,93 ;;;;8
M-ØA;45;;;45;B;4;;;;;;;;B;;;;;;;;;F;D;;B;;;;;;;;;;;;B;;;;;;;B;;F;B;;B;;;;;;;;;;;;;;;; 2,75 ;;;;9
M-ØA;46;;;46;B;4;;;;;;;;;A;;;;B;D;;;;;;;;;;;;;;;;B;;C;;A;;;;;B;;;;;;;;;;;;;A;C;;;;;;; 3,93 ;;;;9
M-ØA;47;;;47;A;5;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;B;;;;;;B;;;;B;;;C;;;;;;; 4,07 ;;;;8
M-ØA;48;;;48;B;4;;;;B;A;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;;;A;;;;B;;;B;;;;;;; 4,23 ;;;;8
M-ØA;49;;;49;C;3;;;F;C;B;;;;;;;;;;;E;;;;;;;;;;;;;;;;B;;;;;;F;B;;;;;;;;;;;D;D;;B;;;;;;; 2,13 ;;;;10
M-ØA;50;;;50;B;4;;;;;;;;;B;;;;C;B;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;A;C;;;;;;; 3,90 ;;;;6
M-ØA;51;;;51;A;5;;;;;;;;;E;;;;C;C;;;;;;;;;;;;;;;;;;B;;B;;C;;B;D;;;;;;;;;;;;;C;B;;;;;;; 3,12 ;;;;10
M-ØA;52;;;52;B;4;;;;;;;;;B;;;;B;A;;;;;;;;;;;;;;;;;;C;;C;B;;;;A;;;;;;;;;;;;;A;B;;;;;;; 4,13 ;;;;9
M-ØA;53;;;53;B;4;;;;C;C;;; ;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;B;;;;F;;;B;;;;;;; 2,64 ;;;;7
M-ØA;54;;;54;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;D; ;B;;;;C;;;;;;; 3,43 ;;;;5
M-ØA;55;;;55;B;4;;;;;;;;;A;;;;C;B;;;;;;;;;;;;;;;;;;;;C;;;C;;A;;;;;;;;;;;;;C;B;;;;;;; 3,77 ;;;;8
M-ØA;56;;;56;A;5;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;B;A;;;;;;;A;;;;B;;;C;;;;;;; 4,36 ;;;;8
M-ØA;57;;;57;C;3;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;B;B;;;;;;;C;;;;B;;;B;;;;;;; 3,86 ;;;;8
M-ØA;58;;;58;A;5;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;C;;;;A;;;;A;;A;A;B;;;;;;C;;;;B;;;C;;;;;;; 4,11 ;;;;11
M-ØA;59;;;59;A;5;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;A;B;;;;A;;;A;;;;B;;;C;;;;;;; 4,40 ;;;;9
M-ØA;60;;;60;A;5;;;;;;;;;D;;;;C;C;;;;;;;;;;;;;;;;;;B;;B;;;;C;A;;;;;;;;;;;;;C;C;;;;;;; 3,20 ;;;;9
M-ØA;61;;;61;A;5;;;;;;;;B;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;; ;;;;;;; 3,80 ;;;;4
M-ØA;62;;;62;C;3;;;;;;;;;C;;B; ;B;A;;;;; ;;;;;;;;; ;;;;;;A;A; ;;;C;;;;;;;;;;;;;;C;;;;;;; 4,07 ;;;;12
M-ØA;63;;;63;B;4;;;;;;;;;C;;;;C;B;;;;;;;;;;;;;;;;;;;;C;;;C;;C;;;;;;;;;;;;;D;B;;;;;;; 3,15 ;;;;8
M-ØA;64;;;64;C;3;;;;C;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;; ;;C;B;;;;;;;E;;;;;D;;B;;;;;;; 2,83 ;;;;8
M-ØA;65;;;65;A;5;;;;;;;;;A;;C;;B;C;;;;;;;;;;;;;;;;;;;;C;A;;;;B;;;;;B;;;;;;;;D;C;;;;;;; 3,56 ;;;;10
M-ØA;66;;;66;B;4;;;;;;;;;F;;C; ;D;D;;;;;;;;;;;;;;;;;;;;; ; ;;;A;;;;;;;;;;;;;F;B;;;;;;; 2,08 ;;;;10
M-ØA;67;;;67;C;3;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;C;;;; ;;;C;;D;B;;;;;;;;;;;B;;E;;;C;; 2,57 ;;;;9
M-ØA;68;;;68;B;4;;;;C;B;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;D;B;;;;;;;D;;;;D;;;C;;;;;;; 2,86 ;;;;8
M-ØA;69;;;69;A;5;;;;B;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;C;B;B;;;;;;C;;;;C;;;B;;;;;;; 3,19 ;;;;9
M-ØA;70;;;70;B;4;;;;;;;;;C;; ;C;C;C;;;;;;;;;;;;;;;;;;B;;D; ;C;;;B;;;;;;;;;;;;;D;C;;;;;;; 2,88 ;;;;12
M-ØA;71;;;71;B;4;;;;;;;;;A;;;;B;B;;;;;;;;;;;;;;;;B;;;;B;A;;;;B;;;;;;;;;;;;;B;B;;;;;;; 4,27 ;;;;9
M-ØA;72;;;72;A;5;;;;B;A;;;;;;;;;;;;;;;;;;;;;;;C;;;;A;;;;;;B;C;B;;;;;;B;;;;B;;;C;;;;;;; 3,82 ;;;;10
