Emne;Studiested (kort);Studiested (fullt navn);Emnekode;Offisielt emnenavn (Karakterweb);År;Semester (ordinær);Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Statistikk for økonomer;BI;Handelshøyskolen BI;met29201;Statistikk for økonomer;2023;Vår;2112;A-F;2.69;34.1;172;252;302;306;360;720;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'met29201' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Statistikk for økonomer;BI;Handelshøyskolen BI;met29201;Statistikk for økonomer;2024;Vår;1590;A-F;2.74;31.5;124;191;280;262;232;501;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'met29201' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Statistikk for økonomer;BI;Handelshøyskolen BI;met29201;Statistikk for økonomer;2025;Vår;1982;A-F;3.05;22.9;220;406;350;337;215;454;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'met29201' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Statistikk for økonomer;HIØ;Høgskolen i Østfold;ØKA120;Statistikk og samfunnsvitenskapelig metode;2023;Høst;91;A-F;3.26;25.3;11;18;20;16;3;23;;;
Statistikk for økonomer;HIØ;Høgskolen i Østfold;ØKA120;Statistikk og samfunnsvitenskapelig metode;2024;Høst;125;A-F;2.61;32.0;5;6;31;37;6;40;;;
Statistikk for økonomer;HIØ;Høgskolen i Østfold;ØKA120;Statistikk og samfunnsvitenskapelig metode;2025;Høst;164;A-F;2.66;40.8;4;21;27;28;17;67;;;
Statistikk for økonomer;HVL;Høgskulen på Vestlandet;BØA115;Statistikk for økonomer;2023;Vår;262;A-F;3.05;27.1;38;45;38;29;41;71;;;
Statistikk for økonomer;HVL;Høgskulen på Vestlandet;BØA115;Statistikk for økonomer;2024;Vår;270;A-F;3.22;26.7;42;48;44;39;25;72;;;
Statistikk for økonomer;HVL;Høgskulen på Vestlandet;BØA115;Statistikk for økonomer;2025;Vår;288;A-F;3.17;18.4;39;66;59;38;33;53;;;
Statistikk for økonomer;HiMolde;Høgskolen i Molde;MAT110;Anvendt statistikk;2023;Vår;181;A-F;3.19;18.2;30;30;48;18;22;33;;;
Statistikk for økonomer;HiMolde;Høgskolen i Molde;MAT110;Anvendt statistikk;2024;Vår;181;A-F;3.08;6.1;16;34;83;21;16;11;;;
Statistikk for økonomer;HiMolde;Høgskolen i Molde;MAT110;Anvendt statistikk;2025;Vår;261;A-F;3.01;4.6;11;36;158;32;12;12;;;
Statistikk for økonomer;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1026;Statistikk for økonomer;2025;Vår;74;A-F;2.48;27.0;6;5;11;19;13;20;;;
Statistikk for økonomer;INN Rena;Høgskolen i Innlandet (Rena);SMET130;Statistikk for økonomer;2025;Vår;123;A-F;3.91;4.1;35;55;15;8;5;5;;;
Statistikk for økonomer;Kristiania;Høyskolen Kristiania;SFO1100;Statistikk for økonomer;2023;Vår;105;A-F;2.7;6.7;0;20;42;23;13;7;;;
Statistikk for økonomer;Kristiania;Høyskolen Kristiania;SFO1100;Statistikk for økonomer;2024;Vår;121;A-F;3.04;43.0;13;15;10;24;7;52;;;
Statistikk for økonomer;Kristiania;Høyskolen Kristiania;SFO1100;Statistikk for økonomer;2025;Vår;118;A-F;1.98;62.7;0;4;11;9;20;74;;;
Statistikk for økonomer;NHH;Norges Handelshøyskole;MET2;Statistikk for økonomer;2023;Vår;482;A-F;3.84;1.5;105;220;123;22;5;7;;;
Statistikk for økonomer;NHH;Norges Handelshøyskole;MET2;Statistikk for økonomer;2024;Vår;407;A-F;3.87;1.5;112;160;102;20;7;6;;;
Statistikk for økonomer;NHH;Norges Handelshøyskole;MET2;Statistikk for økonomer;2025;Vår;410;A-F;4.04;1.2;145;156;86;10;8;5;;;
Statistikk for økonomer;NLA;NLA Høgskolen;HSM126;Innføring i statistikk med forskningsmetode;2024;Vår;164;A-F;2.89;1.8;11;29;70;34;17;3;;;
Statistikk for økonomer;NLA;NLA Høgskolen;HSM126;Innføring i statistikk med forskningsmetode;2025;Vår;278;A-F;2.83;8.3;27;42;98;37;51;23;;;
Statistikk for økonomer;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);STAT100;Statistikk;2023;Vår;345;A-F;2.83;15.4;32;66;71;66;57;53;;;
Statistikk for økonomer;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);STAT100;Statistikk;2024;Vår;440;A-F;2.96;12.5;47;98;92;87;61;55;;;
Statistikk for økonomer;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);STAT100;Statistikk;2025;Vår;468;A-F;2.75;30.8;52;53;68;65;86;144;;;
Statistikk for økonomer;NORD;Nord universitet;STT1001;Statistikk;2023;Vår;147;A-F;2.39;42.2;0;10;28;32;15;62;;;
Statistikk for økonomer;NORD;Nord universitet;STT1001;Statistikk;2024;Vår;152;A-F;2.84;42.1;5;16;33;28;6;64;;;
Statistikk for økonomer;NORD;Nord universitet;STT1001;Statistikk;2025;Vår;131;A-F;3;49.6;6;15;22;19;4;65;;;
Statistikk for økonomer;NTNU Gjøvik;NTNU (Gjøvik);REA1154;Statistikk for økonomer;2023;Vår;94;A-F;1.97;29.8;0;5;17;15;29;28;;;
Statistikk for økonomer;NTNU Gjøvik;NTNU (Gjøvik);REA1154;Statistikk for økonomer;2024;Vår;80;A-F;2.24;32.5;5;6;12;5;26;26;;;
Statistikk for økonomer;NTNU Gjøvik;NTNU (Gjøvik);REA1154;Statistikk for økonomer;2025;Vår;123;A-F;2.51;27.6;12;11;17;19;30;34;;;
Statistikk for økonomer;NTNU Trondheim;NTNU (Trondheim);MET1002;Statistikk for økonomer;2023;Vår;299;A-F;3.53;6.7;72;86;66;29;26;20;;;
Statistikk for økonomer;NTNU Trondheim;NTNU (Trondheim);MET1002;Statistikk for økonomer;2024;Vår;280;A-F;3.08;11.8;33;68;65;48;33;33;;;
Statistikk for økonomer;NTNU Trondheim;NTNU (Trondheim);MET1002;Statistikk for økonomer;2025;Vår;65;A-F;4;0;23;29;8;0;5;0;;;
Statistikk for økonomer;NTNU Ålesund;NTNU (Ålesund);AR100219;Statistikk for økonomer;2023;Vår;163;A-F;2.44;49.7;5;13;22;15;27;81;;;
Statistikk for økonomer;NTNU Ålesund;NTNU (Ålesund);AR100219;Statistikk for økonomer;2024;Vår;145;A-F;2.16;45.5;0;10;22;18;29;66;;;
Statistikk for økonomer;NTNU Ålesund;NTNU (Ålesund);AR100219;Statistikk for økonomer;2025;Vår;113;A-F;2.79;41.6;11;11;13;15;16;47;;;
Statistikk for økonomer;ONH;Oslo Nye Høyskole;ØKAD2110;Metode og statistikk;2023;Høst;36;A-F;2.22;0;0;7;4;15;10;0;;;
Statistikk for økonomer;ONH;Oslo Nye Høyskole;ØKAD2110;Metode og statistikk;2024;Høst;78;A-F;3.6;0;24;22;14;13;5;0;;;
Statistikk for økonomer;ONH;Oslo Nye Høyskole;ØKAD2110;Metode og statistikk;2025;Høst;93;A-F;3.45;0;29;21;17;15;11;0;;;
Statistikk for økonomer;OsloMet;OsloMet – storbyuniversitetet;ØAMET1100;Statistikk;2023;Vår;232;A-F;3.92;12.5;72;70;40;14;7;29;;;
Statistikk for økonomer;OsloMet;OsloMet – storbyuniversitetet;ØAMET1100;Statistikk;2024;Vår;294;A-F;3.88;15.7;104;63;44;20;17;46;;;
Statistikk for økonomer;OsloMet;OsloMet – storbyuniversitetet;ØAMET1100;Statistikk;2025;Vår;330;A-F;4.04;12.7;130;88;36;19;15;42;;;
Statistikk for økonomer;USN;Universitetet i Sørøst-Norge;MET1010;Statistikk for økonomer;2025;Vår;637;A-F;2.94;24.8;66;106;118;109;80;158;;;
Statistikk for økonomer;UiA;Universitetet i Agder;ME-111;Innføring i dataanalyse;2023;Høst;208;A-F;3.13;6.2;30;43;63;41;18;13;;;
Statistikk for økonomer;UiA;Universitetet i Agder;ME-111;Innføring i dataanalyse;2024;Høst;191;A-F;3.11;3.7;26;44;57;38;19;7;;;
Statistikk for økonomer;UiA;Universitetet i Agder;ME-111;Innføring i dataanalyse;2025;Høst;220;A-F;3.12;8.6;27;52;61;40;21;19;;;
Statistikk for økonomer;UiS;Universitetet i Stavanger;BØK356;Statistics For Business and Economics;2023;Vår;372;A-F;2.87;20.2;34;61;83;71;48;75;;;
Statistikk for økonomer;UiS;Universitetet i Stavanger;BØK356;Statistics For Business and Economics;2024;Vår;235;A-F;3.04;14.5;27;46;60;44;24;34;;;
Statistikk for økonomer;UiS;Universitetet i Stavanger;BØK356;Statistics For Business and Economics;2025;Vår;235;A-F;3.06;10.6;33;45;64;37;31;25;;;
Statistikk for økonomer;UiT;UiT Norges arktiske universitet;BED-2065;Statistikk for økonomer;2025;Høst;112;A-F;2.68;10.7;8;13;37;23;19;12;;;
Økonomistyring;BI;Handelshøyskolen BI;bøk34301;Innføring i bed.øk. & finans;2023;Høst;2619;A-F;3.02;25.7;317;465;466;338;360;673;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk34301' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Økonomistyring;BI;Handelshøyskolen BI;bøk34301;Innføring i bed.øk. & finans;2024;Høst;3246;A-F;3.07;23.7;439;567;622;424;426;768;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk34301' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Økonomistyring;BI;Handelshøyskolen BI;bøk34301;Innføring i bed.øk. & finans;2025;Høst;3190;A-F;3.16;24.1;462;603;597;389;370;769;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk34301' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Økonomistyring;HIØ;Høgskolen i Østfold;SFB10613;Budsjettering og driftsregnskap;2023;Høst;94;A-F;2.84;16.0;11;7;29;22;10;15;;;
Økonomistyring;HIØ;Høgskolen i Østfold;SFB10613;Budsjettering og driftsregnskap;2024;Høst;116;A-F;2.84;17.2;15;18;26;11;26;20;;;
Økonomistyring;HIØ;Høgskolen i Østfold;SFB10613;Budsjettering og driftsregnskap;2025;Høst;157;A-F;2.35;42.0;3;11;30;18;29;66;;;
Økonomistyring;HVL;Høgskulen på Vestlandet;BØA205;Økonomistyring;2023;Vår;250;A-F;3.08;27.2;36;36;51;24;35;68;;;
Økonomistyring;HVL;Høgskulen på Vestlandet;BØA205;Økonomistyring;2024;Vår;252;A-F;3.15;17.1;41;44;61;31;32;43;;;
Økonomistyring;HVL;Høgskulen på Vestlandet;BØA205;Økonomistyring;2025;Vår;275;A-F;3.32;14.9;64;43;67;24;36;41;;;
Økonomistyring;HiMolde;Høgskolen i Molde;BØK205;Økonomistyring og regnskap;2023;Vår;73;A-F;2.97;15.1;10;14;14;12;12;11;;;
Økonomistyring;HiMolde;Høgskolen i Molde;BØK205;Økonomistyring og regnskap;2024;Vår;151;A-F;2.23;20.5;0;14;34;37;35;31;;;
Økonomistyring;HiMolde;Høgskolen i Molde;BØK205;Økonomistyring og regnskap;2025;Vår;210;A-F;2.41;27.1;12;26;28;34;53;57;;;
Økonomistyring;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA2002;Økonomistyring;2025;Høst;70;A-F;3.53;8.6;17;20;14;6;7;6;;;
Økonomistyring;INN Rena;Høgskolen i Innlandet (Rena);3REV220;Økonomistyring;2025;Høst;53;A-F;2.78;22.6;7;5;9;12;8;12;;;
Økonomistyring;Kristiania;Høyskolen Kristiania;OKS1101;Økonomistyring;2023;Høst;106;A-F;2.89;15.1;10;25;21;13;21;16;;;
Økonomistyring;Kristiania;Høyskolen Kristiania;OKS1101;Økonomistyring;2024;Høst;75;A-F;3.15;26.7;10;9;24;3;9;20;;;
Økonomistyring;Kristiania;Høyskolen Kristiania;OKS1101;Økonomistyring;2025;Høst;80;A-F;2.34;27.5;4;6;14;16;18;22;;;
Økonomistyring;NHH;Norges Handelshøyskole;BED5;Økonomisk styring;2023;Vår;372;A-F;3.82;1.1;93;153;89;27;6;4;;;
Økonomistyring;NHH;Norges Handelshøyskole;BED5;Økonomisk styring;2024;Vår;365;A-F;3.69;2.2;82;141;91;27;16;8;;;
Økonomistyring;NHH;Norges Handelshøyskole;BED5;Økonomisk styring;2025;Vår;425;A-F;3.84;1.4;130;150;100;21;18;6;;;
Økonomistyring;NLA;NLA Høgskolen;HSM122;Innføring i bedriftsøkonomi;2023;Høst;189;A-F;2.38;35.4;16;11;22;27;46;67;;;
Økonomistyring;NLA;NLA Høgskolen;HSM122;Innføring i bedriftsøkonomi;2024;Høst;300;A-F;2.81;20.0;21;58;67;42;52;60;;;
Økonomistyring;NLA;NLA Høgskolen;HSM122;Innføring i bedriftsøkonomi;2025;Høst;429;A-F;2.84;20.8;45;75;72;78;70;89;;;
Økonomistyring;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS210;Økonomi- og virksomhetsstyring;2023;Vår;110;A-F;2.27;24.6;3;12;17;23;28;27;;;
Økonomistyring;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS210;Økonomi- og virksomhetsstyring;2024;Vår;140;A-F;2.81;20.0;12;19;33;32;16;28;;;
Økonomistyring;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS210;Økonomi- og virksomhetsstyring;2025;Vår;181;A-F;2.95;16.0;23;27;42;40;20;29;;;
Økonomistyring;NORD;Nord universitet;REG1002;Driftsregnskap og budsjettering;2023;Vår;143;A-F;3.24;3.5;22;37;48;14;17;5;;;
Økonomistyring;NORD;Nord universitet;REG1002;Driftsregnskap og budsjettering;2024;Vår;148;A-F;2.47;19.6;8;12;41;25;33;29;;;
Økonomistyring;NORD;Nord universitet;REG1002;Driftsregnskap og budsjettering;2025;Vår;118;A-F;2.79;34.8;8;15;23;15;16;41;;;
Økonomistyring;NTNU Gjøvik;NTNU (Gjøvik);SMF2293;Driftsregnskap med budsjettering;2023;Høst;85;A-F;2.17;23.5;0;9;16;17;23;20;;;
Økonomistyring;NTNU Gjøvik;NTNU (Gjøvik);SMF2293;Driftsregnskap med budsjettering;2024;Høst;72;A-F;2.05;43.1;4;0;9;9;19;31;;;
Økonomistyring;NTNU Gjøvik;NTNU (Gjøvik);SMF2293;Driftsregnskap med budsjettering;2025;Høst;114;A-F;2.39;37.7;6;8;12;27;18;43;;;
Økonomistyring;NTNU Trondheim;NTNU (Trondheim);BØA2100;Driftsregnskap med budsjettering;2023;Høst;342;A-F;3.18;4.4;56;76;101;59;35;15;;;
Økonomistyring;NTNU Trondheim;NTNU (Trondheim);BØA2100;Driftsregnskap med budsjettering;2024;Høst;291;A-F;2.97;5.5;41;59;69;63;43;16;;;
Økonomistyring;NTNU Trondheim;NTNU (Trondheim);BØA2100;Driftsregnskap med budsjettering;2025;Høst;309;A-F;3.43;4.2;78;70;69;60;19;13;;;
Økonomistyring;NTNU Ålesund;NTNU (Ålesund);AE101124;Økonomisk Styring I;2025;Høst;157;A-F;3.07;21.7;7;37;40;36;3;34;;;
Økonomistyring;ONH;Oslo Nye Høyskole;ØKAD2220;Økonomistyring;2023;Høst;3;A-F;4;0;0;3;0;0;0;0;;;
Økonomistyring;ONH;Oslo Nye Høyskole;ØKAD2220;Økonomistyring;2024;Vår;25;A-F;3.6;0;6;9;4;6;0;0;;;
Økonomistyring;ONH;Oslo Nye Høyskole;ØKAD2220;Økonomistyring;2025;Vår;42;A-F;3.69;0;17;9;5;8;3;0;;;
Økonomistyring;OsloMet;OsloMet – storbyuniversitetet;ØABED2100;Økonomistyring;2023;Vår;199;A-F;3.36;19.6;38;43;32;32;15;39;;;
Økonomistyring;OsloMet;OsloMet – storbyuniversitetet;ØABED2100;Økonomistyring;2024;Vår;214;A-F;1.88;25.7;3;11;25;45;75;55;;;
Økonomistyring;OsloMet;OsloMet – storbyuniversitetet;ØABED2100;Økonomistyring;2025;Vår;319;A-F;2.87;27.9;27;47;66;49;41;89;;;
Økonomistyring;USN;Universitetet i Sørøst-Norge;BØK2000;Driftsregnskap og budsjettering;2025;Vår;310;A-F;2.91;25.5;30;32;89;48;32;79;;;
Økonomistyring;UiA;Universitetet i Agder;BE-110;Innføring i økonomisk styring;2023;Vår;313;A-F;3.33;11.5;60;76;68;41;32;36;;;
Økonomistyring;UiA;Universitetet i Agder;BE-110;Innføring i økonomisk styring;2024;Vår;330;A-F;3.27;8.8;62;76;79;50;34;29;;;
Økonomistyring;UiA;Universitetet i Agder;BE-110;Innføring i økonomisk styring;2025;Vår;346;A-F;3.05;17.9;57;56;71;45;55;62;;;
Økonomistyring;UiS;Universitetet i Stavanger;BØK301;Driftsregnskap og økonomistyring;2023;Vår;188;A-F;2.94;34.0;4;23;59;38;0;64;;;
Økonomistyring;UiS;Universitetet i Stavanger;BØK301;Driftsregnskap og økonomistyring;2024;Vår;345;A-F;3.05;36.2;17;39;102;62;0;125;;;
Økonomistyring;UiS;Universitetet i Stavanger;BØK301;Driftsregnskap og økonomistyring;2025;Vår;229;A-F;3.1;8.3;37;50;49;44;30;19;;;
Økonomistyring;UiT;UiT Norges arktiske universitet;BED-1502;Bedriftsøkonomisk analyse;2025;Høst;328;A-F;3.14;10.4;49;73;80;53;39;34;;;
