Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;49,1;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;49;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;48,3;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;47,7;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;47,2;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2025;52,4;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2024;51,8;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2023;50,5;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2022;49,4;;;
184369;Samfunnsøkonomi, bachelor;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2021;49,7;;;
184369;Samfunnsøkonomi, bachelor;UIB;Bergen;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;49,8;;;
184369;Samfunnsøkonomi, bachelor;UIB;Bergen;ØKADM;Ordinær kvote;Hovedopptak;2026;53,1;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;51,4;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;50,1;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;50,9;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;50,7;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;49,8;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2025;53,1;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2024;53,5;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2023;53,9;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2022;52,5;;;
184698;Samfunnsøkonomi, master;UIB;;ØKADM;Ordinær kvote;Hovedopptak;2021;53,3;;;
184698;Samfunnsøkonomi, master;UIB;Bergen;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;50,4;;;
184698;Samfunnsøkonomi, master;UIB;Bergen;ØKADM;Ordinær kvote;Hovedopptak;2026;53,2;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;48,1;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;47;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;47,2;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;46,8;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;48,5;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2025;63,5;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2024;61,1;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2023;59;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2022;58,1;;;
185239;Samfunnsøkonomi, årsstudium;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2021;58,6;;;
185239;Samfunnsøkonomi, årsstudium;UIO;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;46,5;;;
185239;Samfunnsøkonomi, årsstudium;UIO;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;63,2;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;46,1;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;45,4;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;43,5;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;42,3;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;45,7;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2025;57,5;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2024;57,4;;;
