Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;2020;2021;2022;2023;2024;2025;2026;Kolonne1
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;;;0;;;
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;;;0;;;;
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2022;38,3;;;38,3;;;;;
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2021;40,3;;40,3;;;;;;
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2020;42,5;42,5;;;;;;;
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;Steinkjer;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
204404;Økonomi og administrasjon, Steinkjer, bachelor;NORD;Steinkjer;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;;;;;0;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;;0;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;0;;;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;0;0;;;;;;;
