Kvote;Lærested;Measure Names;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Measure Values
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;0
Ordinær kvote;NTNU;Poenggrense;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;0
Ordinær kvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;0
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;49.2
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;73
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;0
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;49.2
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2020;47
Førstegangsvitnemålskvote;NTNU;Poenggrense;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;0
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;0
